player_id,position,total_bases,opportunities
572039,9,-162,356
518792,8,-16,39
450314,9,-63,114
451594,8,-160,432
656941,7,-128,317
545341,7,-83,179
605480,7,-24,56
453056,8,-76,325
458731,7,-224,469
592450,9,-175,492
595281,8,-63,425
519306,9,-217,484
543305,7,-11,54
572041,8,-125,431
452655,8,-228,545
452254,9,-257,508
630111,7,-51,107
592620,7,-55,150
444482,9,-122,311
491676,7,-70,155
493316,7,-152,299
455976,9,-235,565
434158,8,-104,226
542255,8,-289,786
461314,7,-182,352
457803,9,-186,515
608577,9,-146,317
571980,8,-30,23
488726,7,-140,308
595777,7,-11,36
501659,9,-52,94
460576,8,-149,469
471865,9,-229,450
467827,7,-116,278
453568,8,-263,692
570267,9,-253,515
460075,7,-121,304
542979,8,-184,494
596146,9,-182,515
621439,8,-193,662
592696,7,-223,489
460086,7,-206,557
456715,8,-240,787
449181,9,-15,51
459964,9,-160,412
501981,7,-204,465
545361,8,-91,444
457727,7,-76,188
434658,8,-86,281
594777,9,-242,628
150029,7,-58,175
542303,7,-228,650
594809,8,-41,93
519317,9,-284,622
547180,9,-130,359
592885,8,-225,679
594988,9,-214,417
594807,7,-245,577
571740,8,-148,589
459431,9,-97,218
546318,8,-151,602
435062,7,-56,183
643217,7,-237,461
598265,8,-197,568
624428,7,-93,205
516782,8,-28,99
605141,9,-163,622
457705,9,-23,47
592808,7,-25,55
608671,7,-8,51
622534,8,-146,513
592669,9,-210,452
624577,9,-172,474
592626,8,-123,277
429711,7,-22,36
543807,8,-102,269
502210,9,-128,324
547982,8,-18,77
502481,7,-35,50
571745,9,-107,373
493114,7,-103,188
543807,9,-90,185
452234,9,-114,281
430945,8,-209,639
430832,9,-229,578
485567,7,-109,222
607680,8,-169,589
547957,7,-68,169
572073,7,-37,100
466320,7,-155,384
457708,7,-217,674
543484,9,-31,65
541645,9,-158,494
594576,8,-17,36
592444,8,-94,244
607385,7,-3,12
457706,8,-64,122
607387,7,-33,92
446386,9,-29,80
488721,7,-44,96
571771,8,-30,78
491676,8,-85,215
502029,7,-7,30
136860,7,-15,28
502210,7,-20,89
546991,8,-86,306
571431,7,-24,44
545341,9,-77,220
425783,9,-134,315
446386,7,-40,69
541650,9,-30,62
543590,8,-10,18
592192,9,-22,69
571437,9,-67,171
455759,9,0,27
570256,7,-33,76
572008,9,-51,83
431094,7,-13,12
543302,7,-35,73
545350,8,-104,242
641820,9,-1,6
456665,7,-135,304
445055,8,-62,153
518792,9,-118,369
519346,7,-48,58
607385,9,-19,49
544725,7,-51,89
542454,7,-33,100
537953,7,-72,144
475100,7,-8,11
488818,7,-2,4
541650,8,-11,35
467793,9,-13,24
506924,7,1,13
544725,8,-91,217
592620,9,-4,9
502481,8,-87,389
607054,7,-33,80
545338,7,-32,38
519346,9,-9,11
570489,8,-5,23
623182,9,-38,69
500874,9,-37,59
571757,8,-7,12
503556,7,-70,137
506924,9,-2,7
592808,8,-4,32
475100,8,0,1
400085,9,-23,50
543305,9,-18,34
518466,7,-32,56
502317,7,-13,46
461865,8,-50,102
592731,8,-3,8
571788,7,-10,30
545341,8,-5,11
518614,7,-39,81
457706,7,-19,83
501659,7,0,39
571757,7,-5,17
624424,8,-66,156
543305,8,-40,194
444432,9,-35,101
502226,7,-31,65
489267,7,-2,2
592261,7,-93,216
519184,7,-112,283
600301,7,-7,45
461865,7,-37,74
643217,8,-56,130
455759,7,-68,121
594809,7,1,11
466988,7,-4,12
641820,7,-165,338
502226,9,-22,61
542454,9,-12,23
624424,7,-88,213
571437,8,-15,59
452234,7,-14,32
543590,7,-1,4
592696,8,-24,38
461235,7,-8,13
460086,9,-11,6
506560,7,-1,5
502082,8,-29,79
571771,7,-10,49
572204,8,-5,22
519333,7,-31,80
543484,7,-37,68
501571,8,-75,305
519184,8,-3,14
457727,9,-20,29
527043,7,-3,5
591994,7,-11,30
606132,7,-19,59
571697,9,-7,20
572816,7,-131,350
488721,8,-15,91
628338,7,-65,208
543094,8,-9,56
457727,8,-35,207
571697,7,-7,27
572191,8,-169,483
543281,7,-12,28
642707,7,-51,103
485567,9,-30,61
502226,8,-6,17
543257,9,-70,126
605125,7,0,1
537953,9,-16,23
595426,7,-3,6
450314,7,-16,59
596146,8,-20,51
400085,7,-20,37
624424,9,-10,33
624428,9,-21,40
457705,8,-199,535
593160,9,-9,25
608671,8,-1,10
518649,8,-3,11
451089,7,-16,49
621002,7,-1,1
519333,9,-25,50
445055,7,-46,118
500874,7,-45,76
444379,9,-84,154
543094,9,-5,12
500871,7,-3,3
434158,9,-38,117
571437,7,-75,196
570489,9,-3,12
502082,9,-32,101
593528,9,-153,349
591741,9,-85,93
594988,8,-16,59
594576,7,-4,5
493114,9,-71,133
518649,7,-2,9
491676,9,-38,60
456488,9,-2,6
623182,7,-9,22
451192,9,-48,96
607385,8,-42,120
519306,8,-9,11
451089,9,-9,20
502210,8,-16,28
461235,9,0,3
593528,8,0,2
474832,7,-19,37
474832,9,0,1
621566,9,-16,44
459964,7,-34,85
570256,8,-2,19
591741,7,-22,39
456488,7,-33,79
453211,8,-16,30
594809,9,-3,8
640447,9,-7,17
606192,9,2,7
641355,7,-49,120
592261,8,-63,200
571757,9,-6,11
502143,9,-8,36
545338,9,-4,5
605486,7,-46,84
592325,9,-78,203
643393,7,-13,25
534606,8,-1,4
642162,7,-4,11
467827,9,-39,66
506560,9,-9,9
571771,9,-20,43
518466,9,-56,119
572073,8,-16,56
543611,9,-2,5
628338,8,-67,281
435622,7,-119,239
621471,7,-6,20
475247,7,-3,7
594576,9,0,4
541650,7,-61,143
572073,9,-29,132
593160,7,-3,20
501659,8,-7,28
543484,8,-119,329
506560,8,-6,8
593700,9,-32,55
458675,9,-10,28
649557,7,0,2
571841,7,-9,16
503556,9,-2,1
591994,9,-21,48
545350,7,-5,11
502054,8,-35,144
572669,8,-15,31
458675,7,-36,92
502317,9,0,10
453923,9,-5,17
624585,9,-18,54
543094,7,0,2
400085,8,-16,38
542303,9,0,2
448605,7,-26,20
622441,9,-3,20
453923,8,-39,110
640461,9,-53,125
642423,8,-4,15
502054,7,-122,301
600301,9,-7,8
650490,7,-2,3
488721,9,2,32
607471,7,-7,8
592178,9,-15,32
445055,9,-12,30
591994,8,-11,44
570256,9,-129,268
608577,7,-101,175
571718,8,-55,131
466988,9,-3,7
592178,8,0,2
492841,8,-1,6
460086,8,-7,29
434158,7,-44,86
448605,8,0,3
593528,7,-10,18
448605,9,-17,45
502110,9,-132,379
136860,9,-1,3
519333,8,-11,58
642423,9,-7,31
664023,9,-19,23
518649,9,0,4
467827,8,-2,2
543257,7,-37,73
595879,9,-1,1
664023,8,-29,146
543706,9,-14,45
592192,7,-28,64
571718,7,-14,80
453923,7,-36,86
607776,9,-26,49
664023,7,-16,36
592192,8,-21,68
592419,8,-31,79
605548,8,-113,339
434604,7,-2,2
571681,8,-47,127
571553,7,-2,3
485567,8,-21,38
519299,7,0,1
543611,7,6,5
546990,7,0,4
642707,8,-1,6
546990,9,0,2
571681,7,2,7
570560,9,0,1
543706,8,-5,6
443558,9,-5,11
592325,7,-146,329
458085,7,-3,15
542303,8,-8,14
489138,7,-6,11
640461,7,-6,9
543611,8,-6,5
621035,8,-31,162
624428,8,-4,7
607776,7,-6,25
641553,8,-172,470
628338,9,1,7
502100,8,-13,69
624585,7,-14,20
571718,9,-15,32
614173,8,-29,85
452252,7,-33,83
444379,7,-12,40
572008,7,-2,2
458913,7,-26,85
501303,7,-20,53
457706,9,-18,46
458913,8,-10,48
502054,9,2,2
593525,7,-20,31
593525,9,0,4
453203,8,-8,18
608701,9,-4,13
543706,7,-12,30
596103,9,-2,9
642423,7,-2,7
458675,8,0,1
492841,7,-1,2
542993,8,-4,5
608336,7,-24,64
446381,7,-2,3
502100,9,-63,126
621433,8,-26,95
430605,7,-19,34
606132,8,-5,13
517369,7,-93,241
596103,7,-46,121
621433,7,-3,3
572669,7,-11,50
489138,9,-5,3
595144,7,-10,16
605480,8,-73,202
608701,7,-2,5
606132,9,-38,74
542454,8,-10,10
622666,7,-3,2
595144,8,-80,171
621446,7,-5,11
592696,9,-14,40
621446,8,-8,31
621035,7,-71,179
576397,7,2,3
595144,9,0,3
605233,7,-65,118
593700,8,-7,34
592863,8,-21,18
596105,7,-9,18
572669,9,-8,15
488818,9,0,1
502151,9,-3,7
458731,8,-19,64
434658,7,-10,34
607043,8,-10,40
575929,7,-3,9
519390,7,-1,4
573088,7,-18,45
573088,9,-15,27
596105,8,0,1
657145,9,-1,8
570481,7,-1,3
596103,8,0,3
594694,8,0,6
622210,9,-3,4
460269,7,-5,11
641355,9,-3,11
607043,7,-46,144
592122,9,-4,6
623182,8,-10,10
592178,7,-3,5
572204,9,-2,12
624507,7,-4,2
643565,9,-2,4
572204,7,-10,11
642180,7,-5,5
544925,9,-1,2
591720,9,0,1
642180,9,-4,5
608384,7,-31,43
458913,9,1,1
544925,7,0,6
643565,7,-11,8
640449,9,-6,22
640449,7,-77,100
608384,9,-97,168
608061,7,2,1
608703,7,-6,15
502100,7,-29,46
592685,7,-24,38
643335,8,-23,104
571980,9,-8,13
643335,7,-9,21
608385,9,-42,89
608384,8,-25,63
571841,9,0,1
516782,7,-83,224
434658,9,-11,15
605509,7,-4,18
614173,7,-7,6
453203,9,-1,19
461865,9,-13,35
453203,7,-17,18
593700,7,-13,23
594694,7,0,2
664057,7,-2,6
444482,7,-47,145
545350,9,-4,2
570489,7,1,1
664056,8,-25,83
605233,8,-5,10
573088,8,-2,5
446481,9,-19,32
571788,9,2,6
592685,8,-12,27
656669,9,-24,46
446481,7,-3,18
664057,8,-1,16
547982,9,-18,71
466320,9,-84,152
519037,9,-4,25
605233,9,-10,32
605480,9,-5,24
656669,7,-13,34
570717,9,-5,11
547170,7,-18,109
544725,9,-4,21
517369,9,-3,8
527049,7,-10,28
656555,7,-32,97
621471,8,-25,117
607043,9,-17,29
664057,9,-13,36
547957,9,-30,35
542340,8,-8,10
435062,9,-3,8
623993,9,-2,28
640461,8,-14,22
446481,8,-4,5
457477,7,0,24
465753,7,1,8
457477,9,-18,26
608703,9,-2,4
571745,8,-2,17
493114,8,-3,6
465753,9,-1,1
475247,9,0,4
571745,7,-4,3
465753,8,-23,38
607369,9,-35,51
150029,9,-23,54
523253,7,1,2
594694,9,2,8
457477,8,1,7
408314,7,-5,3
520471,8,-7,9
640447,8,-11,40
502082,7,-3,22
656185,7,-2,8
607297,7,0,5
657077,8,-4,7
656185,8,-17,53
449181,8,-24,44
643335,9,-1,4
444843,7,-12,17
459964,8,0,4
542642,7,-2,31
621433,9,-4,10
606192,7,-22,55
657077,9,-3,2
641355,8,-1,14
502117,7,-5,9
592419,9,-6,10
592348,9,0,3
664056,7,-2,11
459431,7,-13,13
606192,8,-5,20
542642,9,-3,7
657077,7,-5,5
607054,9,-5,8
592206,9,-39,76
669720,9,-15,45
640447,7,-3,9
592626,7,-4,5
595238,7,-2,1
450641,7,0,2
606299,8,-3,8
643565,8,-5,7
641598,7,0,5
645302,8,3,5
641432,7,-25,32
608672,7,-6,6
643393,8,1,5
547982,7,-1,1
645302,9,-2,15
669720,8,6,24
623993,7,0,1
518618,7,-3,8
600524,7,-2,2
593525,8,-2,3
435622,8,0,7
642707,9,-2,4
543401,8,-21,35
519295,9,1,2
605253,7,3,2
450641,8,0,1
519295,7,-4,1
608385,7,-1,2
622441,8,-1,1
608671,9,-2,8
519295,8,-8,35
527049,9,-2,2
595238,8,-4,24
643603,7,-2,5
546991,9,0,1
641796,7,0,1
